;Title;Text
77;Rear-end collision on Teufener Strasse;On Wednesday (November 25th, 2020) there was a rear-end collision on Teufener Strasse. A driver left the scene of the accident without paying any attention to the damage. The St.Gallen City Police were able to locate the owner of the vehicle. One person was easily injured. There was moderate property damage. On Wednesday evening shortly before 7 p.m., a 60-year-old woman drove out of town in her car on Teufener Strasse. She stopped at the pedestrian crossing at property no. 124 to let passers-by across the street. A 54-year-old driver noticed the car stopping in front of him too late. As a result, there was a rear-end collision. The man left the scene of the accident without paying any attention to the damage. The St.Gallen city police were able to locate the make of the vehicle based on a radiator grille imprint on the vehicle of the 60-year-old woman. In the immediate vicinity she encountered a car that had recently been damaged. The man admitted to having been involved in the accident. The woman suffered minor injuries. There was moderate property damage. Figure 1: Scene of the accident Figure 2: Damaged passenger car Figure 3: Radiator grille
78;Driver disregards right of way;On Thursday (November 26th, 2020) there was a traffic accident between two cars at the junction Rorschacher Strasse / Lerchentalstrasse. Nobody was injured in the accident. There was moderate property damage. Late on Thursday afternoon at 4:20 p.m., an accident between two cars occurred at the Rorschacher Strasse / Lerchentalstrasse junction. A 28-year-old man drove on Lerchentalstrasse in the direction of Rorschacher Strasse. When branching out, he disregarded the right of way. As a result, he collided with a 60-year-old driver who was driving out of town on Rorschacher Strasse. Nobody was harmed during the accident. There was moderate property damage. Figure 1: Scene of the accident Figure 2: Damaged passenger car
79;Bus collides with girl;On Thursday (November 26th, 2020) there was a collision between a bus and a girl. The pedestrian fell to the ground and sustained indefinite injuries. On Thursday at 4.30 p.m., a 30-year-old bus driver drove from Bohl towards the main train station. At the same time, a 12-year-old pedestrian crossed the Bohl, level with property no. 11. There was a collision between the bus and the girl, causing the girl to fall to the ground. After the 12-year-old said she had not been injured, she complained of pain that evening. As a result, she was taken to the hospital. There was no damage to property.
80;Man dies on the Bohl;On Friday (November 27th, 2020) a male had to be reanimated. Despite the immediate help, the man died. Third party influence can be excluded. Text alternative to the picture: Symbolic image of the city police - new window On Friday, shortly before 5:00 p.m., a 57-year-old man had to be reanimated on the Bohl. The attempts of the rescue team called up with the emergency doctor were also unsuccessful. Death had to be determined on site. The place was cordoned off and a tent was set up by the professional fire brigade as a privacy screen. Third party influence can be excluded. Icon image of the St.Gallen City Police
81;Rear-end collision on Oberstrasse;"On Friday (November 27th, 2020) there was a rear-end collision on Oberstrasse. There was minor property damage. Nobody was injured. Text alternative to the picture: scene of the accident - new window On Friday morning, at 10 a.m., a driver turned his car from Teufener Strasse into Oberstrasse. As a result of the heavy traffic, he had to bring his car to a brusque stop. Because the distance was too close, the following 60-year-old driver was unable to stop her vehicle in time. There was a slight rear-end collision with minor property damage. Those involved in the accident were not injured. Figure 3: Scene of the accident with displaced accident vehicle; Figure 2: Damaged vehicle involved in the accident; Figure 1: Damaged vehicle involved in the accident"
82;Disregard of the corona regulations in the city center;On Friday and Saturday (November 27th and November 28th, 2020) in the evening hours, the St.Gallen City Police checked compliance with the Corona regulations in the city center. Despite the request to adhere to the mask requirement, advertisements had to be created. Text alternative to the picture: View Bohl - new window In the past few weeks, the St.Gallen City Police discovered larger groups in the city center, especially in the evening hours on the weekends, which did not line up respected the mask requirement. Patrols always sought dialogue and drew attention to the duty. Despite constant sensitization, there were always groups that disregarded the regulation. Due to this, the city police stepped up the action against the disregard of the Corona regulations on Friday and Saturday evening. Between 8 p.m. and midnight, between 60 and 100 mostly teenagers or young adults stayed in larger groups in the city center on both evenings. With dialogue teams, people who did not adhere to the mask requirement were approached and asked to comply with the regulation. In the course of the evening it was found that those who had already been warned repeatedly failed to comply with the mask requirement. This behavior was already evident on the past weekends. The city police were therefore forced to report 12 cases of disregard of the mask requirement. The city police of St.Gallen will continue to carry out checks in relation to the Corona regulations and asks the population again to abide by the rules. View of Bohl in the early evening
83;No alcohol on the electric scooter;In the past few weeks, the St.Gallen city police have increasingly found that people with the electric scooter were under the influence of alcohol. Those affected were reported. The police draw attention to the fact that there is also an upper alcohol limit for e-scooters. In the past two weeks, the St.Gallen city police stopped four people who were under the influence of alcohol on the e-scooter. In one case there was a self-accident, the other people noticed because of their driving style. The breath alcohol measurements showed values ​​between 0.41 mg / l and 0.87 mg / l. All people were reported. The St.Gallen City Police point out that the alcohol limit also applies on the electric scooter. As with motorized traffic, this is also 0.24 mg / l for e-scooters, bicycles and e-bikes. From 0.25 mg / l, people are considered incapable of driving and are reported.
84;8-year-olds hit on Zürcher Strasse;On Tuesday (December 1st, 2020) a learner driver collided with a girl on Zürcher Strasse. The 8-year-old had to be taken to hospital with minor injuries. On Tuesday evening at 5:20 p.m., a 22-year-old learner driver and her driving instructor drove into town on Zürcher Strasse. When an 8-year-old ran across the pedestrian crossing at property No. 226, there was a collision between the car and the girl. This fell to the ground and had to be brought to the hospital with minor injuries by the ambulance. There was minor property damage. Photo: Accident location Zürcher Strasse
85;8-year-olds hit on Zürcher Strasse;On Tuesday (December 1st, 2020) a learner driver collided with a girl on Zürcher Strasse. The 8-year-old had to be taken to hospital with minor injuries. On Tuesday evening at 5:20 p.m., a 22-year-old learner driver and her driving instructor drove into town on Zürcher Strasse. When an 8-year-old ran across the pedestrian crossing at property No. 226, there was a collision between the car and the girl. This fell to the ground and had to be brought to the hospital with minor injuries by the ambulance. There was minor property damage.
86;Five accidents in the city of St.Gallen;During the course of Tuesday (December 1st, 2020) there were five accidents in the city of St.Gallen due to the onset of winter. In four cases, vehicles slid into masts or boards. In one case there was a collision between two cars. Nobody got hurt. There was property damage. On Tuesday there were five accidents in the city of St.Gallen. At Reherstrasse, Dietlistrasse and Appenzeller Strasse, four vehicles slid into traffic signs or masts. No one was injured, but property damage occurred. In an accident on Sonnenstrasse, there was a collision between two cars. A car driver had to brake and slipped as a result. The 35-year-old got into the opposite lane, where she collided with an oncoming car. Nobody got hurt. There was property damage of several thousand francs.
87;Five accidents in the city of St.Gallen;During the course of Tuesday (December 1st, 2020) there were five accidents in the city of St.Gallen due to the onset of winter. In four cases, vehicles slid into masts or boards. In one case there was a collision between two cars. Nobody got hurt. There was property damage. On Tuesday there were five accidents in the city of St.Gallen. At Reherstrasse, Dietlistrasse and Appenzeller Strasse, four vehicles slid into traffic signs or masts. No one was injured, but property damage occurred. In an accident on Sonnenstrasse, there was a collision between two cars. A car driver had to brake and slipped as a result. The 35-year-old got into the opposite lane, where she collided with an oncoming car. Nobody got hurt. There was property damage of several thousand francs. Photo: accident situation Sonnenstrasse
88;Five people appear;The St.Gallen City Police stopped five people on Monday morning (December 7th, 2020) who had not cleared the vehicle of snow or ice. All were displayed. On Monday morning, the St.Gallen City Police carried out traffic controls at various locations. Five vehicles were stopped, which were traveling with up to 30 centimeters of snow on the roof or the view was restricted. Drivers had to clear snow and ice from their vehicles before they could continue their journey. They were also reported. The St.Gallen city police warn that snow and ice can come off while driving and thus lead to dangerous situations for other road users. It is mandatory that vehicles must be completely free of snow and ice. The view from the windows and the side mirrors must also not be restricted.
89;Road traffic accident with property damage;On Tuesday evening (December 8th, 2020) there was a collision between two cars on Zürcher Strasse. This resulted in minor property damage. Nobody got hurt. On Tuesday evening at 5.30 p.m. there was a collision between two cars on Zürcher Strasse at property no. A 33-year-old was driving her vehicle on Ullmannstrasse and intended to turn onto Zürcher Strasse in the direction of the city. During the turning maneuver, she touched a 43-year-old driver who was driving out of town on Zürcher Strasse. There was minor property damage. Nobody got hurt.
90;Window smashed on passenger cars;On the night of Thursday (December 10th, 2020), the St.Gallen city police were able to stop two men who had smashed the window of a car due to a report. They will be displayed. Shortly after midnight on Thursday, a man saw three men between the ages of 19 and 21 smash the window of a car and then fled. Two of the three fugitives were stopped and arrested by a patrol from the St.Gallen city police. The third person was later found by the police. Because of the attempt to escape, they were reported for impeding an official act. Because of the broken window, the case was handed over to the St.Gallen canton police for further investigations.
91;Traffic accident with property damage;On Friday morning (December 11th, 2020) there was a collision between two cars on Martinsbruggstrasse. This resulted in moderate property damage. No one was injured. Text alternative to the picture: Vehicle end positions - new window On Friday morning shortly before 7 a.m. there was a collision between two cars on Martinsbruggstrasse at the level of property 96a. A 21-year-old drove his vehicle on Martinsbruggstrasse towards the city. At the height of property 96a, he intended to turn left. As a result, there was a side-on frontal collision with a straight-ahead passenger car with right of way. There was moderate property damage. Nobody got hurt. However, the vehicles had to be towed.
92;Smoking washing machine;On Monday (December 14th, 2020) there was smoke development on Martinsbruggstrasse. This is due to a defective washing machine cable. Nobody got hurt. There was property damage. On Monday evening shortly before 8.30 p.m. there was smoke in a company building on Martinsbruggstrasse. A defective cable in a washing machine triggered the smoke alarm. The St.Gallen professional fire brigade was on site and was able to remove the smoke from the room using a blower. Nobody got hurt. There was minor property damage.
93;Passenger car crashes into a signal board;On Wednesday (December 16, 2020) a driver collided with a signal board. Nobody got hurt. The car was totaled. On Wednesday night shortly before 2.30 a.m., a 23-year-old drove her car up St.Georgen-Strasse towards the Mühleggbahn valley station. For reasons still unknown, the driver lost control of her vehicle in the left turn at the Mühleggbahn and hit a signal board. Then she left the vehicle and ran away. Residents were able to observe the incident and reported it to the St.Gallen city police. The 23-year-old was able to stop a patrol at the Spisertorkreisel. Why she ran away is currently unclear. The breath test carried out turned out negative. Nobody got hurt. The car was totaled.
94;Traffic accident between a scooter and a pedestrian;On Wednesday afternoon (December 16, 2020) a traffic accident occurred between a scooter driver and a pedestrian on Rorschacher Strasse. Both parties were easily injured. There was minor property damage. On Wednesday afternoon shortly before 4 p.m. there was a collision between a scooter driver and a pedestrian on Rorschacher Strasse, level with property no. 151. The 77-year-old drove his scooter into town on Rorschacher Strasse. Shortly before the Grossacker bus stop, he overlooked the 95-year-old pedestrian coming from the left, who was crossing the street. As a result, there was a slight collision. Both parties involved were slightly injured, but did not have to be taken to hospital care. There was minor property damage.
95;Car collides with bicycle;On Wednesday evening (December 16, 2020) there was a collision between a car and a bicycle. The cyclist sustained uncertain head injuries. There was minor property damage. On Wednesday evening shortly before 6 p.m. there was a traffic accident on Rorschacher Strasse between a car and a bicycle. A 32-year-old cyclist drove out of town on the cycle lane on Rorschacher Strasse. At the same time, a 27-year-old was driving her car on Rorschacher Strasse towards the city center and intended to turn left into Grütlistrasse. At the Rorschacher- / Grütlistrasse junction, the driver of the passenger car overlooked the cyclist. As a result, there was a collision between the two vehicles. The cyclist injured her head and had to be taken to the hospital by the ambulance. There was minor property damage.
96;Three traffic accidents on Friday;On Friday (December 18th, 2020) there were three traffic accidents in the city of St.Gallen. It was a self-accident of a cyclist as well as a self-accident of a car driver. The third accident was a rear-end collision between two cars. One person was injured. On Friday afternoon shortly after 1 p.m. there was a rear-end collision between two cars at the Zilstrasse / Oberzilstrasse junction. The driver in the rear drove his vehicle without a valid driver's license. Nobody was hurt by the accident. There was moderate property damage. At 2:35 p.m., a 29-year-old cyclist drove down Heiligkreuzstrasse. At Lukasstrasse 2, the handlebars skidded in the left turn and fell to the ground. In the process, he sustained an injury to his shoulder. The paramedics took him to the St.Gallen Cantonal Hospital. The bike was slightly damaged. On the same day around 6:30 p.m., a 42-year-old car driver drove into town on Burgstrasse. At the Vonwilstrasse junction, the driver collided with the candelabra of the traffic lights. This was pressed to the ground by the impact and completely damaged. The driver of the vehicle was classified as incapable of driving by the city police. The St.Gallen public prosecutor ordered a blood and urine sample from her. The driver was not injured. There was high damage to property.
97;Fire breaks out in the kitchen;On Saturday afternoon (December 19th, 2020) there was a fire in a single-family house in the city of St.Gallen. The fire broke out in the kitchen. The two residents were able to leave the house independently. They were taken to hospital with suspected smoke poisoning. There was major property damage. On Saturday afternoon shortly after 1.30 p.m., a neighbor reported that there was a fire in a house on Rosengartenstrasse. The deployed patrol of the city police could see smoke from a window on site. Meanwhile, two residents came out of the house to meet the police. The professional fire brigade of the city of St.Gallen was able to quickly bring the fire under control. The paramedics brought the two residents to the hospital with suspected smoke poisoning. The case processing is carried out by the deployed criminal service as well as the fire investigation of the St.Gallen canton police. According to initial findings, the fire broke out on the lower floor in the kitchen. The two residents, a 60-year-old woman and a 64-year-old man, were on the upper floor at the time. After they noticed the fire, they were able to leave the house on their own. The cause is still unknown and is being clarified by the St.Gallen canton police. There was great damage to property.
98;Drunk cyclist fell;On Monday (December 21st, 2020) there was a self-accident of a cyclist on Zürcher Strasse. The man injured himself slightly. There was minor property damage. On Monday afternoon at 3:30 p.m., a cyclist drove into the city on Zürcher Strasse. At the height of property no. 293, the 38-year-old fell without any third party influence when he drove from the street onto the pavement. The breath alcohol test carried out gave a value of 1.03 mg / l. The man was brought to the hospital with minor injuries by the ambulance. There was minor material damage to the bike.
99;Two accidents on icy roads;On Friday (December 25th, 2020) there were two traffic accidents on the icy roads in the city of St.Gallen. There was high property damage in an accident and one person was injured. On Friday afternoon shortly before 3 p.m. a driver was driving out of town on Speicherstrasse. At the height of property no. 110, he slipped on the icy road due to improper speed. The 25-year-old got into the opposite lane, collided with an oncoming car and then slipped onto the gravel bed of the tracks. There was minor property damage. Nobody was injured. The second accident occurred at 5:20 p.m. on Appenzeller Strasse. A 21-year-old driver was heading towards Winkeln when he lost control of his vehicle. He came into the oncoming lane, where he collided with two cars driving upwards. A passenger complained of nausea and went to see a doctor herself. The accident caused property damage of more than ten thousand francs. All three vehicles had to be towed. Due to the accident, Appenzeller Strasse had to be closed for around two hours. A diversion took place via Heinrichsbadstrasse.
100;Witness call: hit a pedestrian;On Sunday morning (December 27th, 2020) a driver drove into a pedestrian on Lukasstrasse. She injured herself moderately. Witnesses are wanted. On Sunday at 8 a.m., a driver was driving on Lukasstrasse in the direction of Heiligkreuz. At the pedestrian crossing at the level of Brauerstrasse, he collided with a pedestrian who was crossing the street. The 43-year-old was injured moderately and had to be treated in hospital. According to a statement, the 67-year-old driver was probably driving with iced windows. However, there are contradicting statements in this regard. The police are looking for witnesses. Anyone who can provide information about the condition of the vehicle - in particular whether the windows were iced up - are asked to report to the St.Gallen City Police. Information is received on 071 224 60 00.
101;Collision on Schönbüelstrasse;On Sunday morning (December 27th, 2020) two cars collided on Schönbüelstrasse. Nobody was injured, but property damage occurred. The vehicles had to be towed away. On Sunday shortly before 10:30 a.m., an 80-year-old driver drove on Schönbüelstrasse in the direction of Martinsbruggstrasse. At the same time, a 34-year-old driver was traveling in the opposite direction and wanted to turn onto the motorway entrance in the direction of Rorschach. There was a collision between the two vehicles. Both drivers stated that they were green. Nobody got hurt. However, property damage of several thousand francs resulted and the vehicles had to be towed away.
102;Teenager with drugs and gun on the go;On Tuesday (December 29th, 2020) the St.Gallen city police checked two young people. They found 3.5 grams of marijuana and a weapon from a 16-year-old. He was reported. On Tuesday evening shortly before 7 p.m., a patrol from the St.Gallen city police checked two young people on Rosenbergstrasse who were smoking a joint. A 16-year-old was found to have 3.5 grams of marijuana and a soft-air weapon with associated ammunition. If a soft-air weapon is likely to be confused with a firearm, it falls under the Weapons Act. This was the case with the gun that was found, which is why the gun is not allowed to be carried without further ado. The narcotics and the gun were seized. In addition, a complaint is made against the young person.
103;Balance of the New Year's Eve;New Year's Eve passed in the city of St.Gallen without major incidents. The St.Gallen City Police received no reports of large gatherings or other disregard of the Corona regulations and could not determine any themselves. On New Year's Eve from December 31, 2020 to January 1, 2021 there were none in the city of St.Gallen major incidents. This year, an estimated 150 people gathered in various groups on the monastery square, which had attracted several thousand people in the past few years. There were no problems. In addition, the city police received no information that there were major gatherings in other places or that the Corona regulations were not being observed. The police could not find any disregard in this regard either. The St.Gallen City Police moved out three times because of drunk people, twice because of disturbances, once because of mischief and five times because of reports in connection with fireworks. In one case there was a minor damage to a street lamp. In addition, a driver who had drunk too much alcohol was stopped. Otherwise, New Year's Eve was very quiet in the city of St.Gallen.
104;Sprayer stopped;On Saturday evening (January 2nd, 2021), the St.Gallen City Police were reported to sprayer at the freight yard. The police found two men and two women on site. One of the men and the two women fled over the railroad tracks. After a short escape, the man was stopped. The two women are now also known to the police and are summoned for questioning. The four people are brought to the police. On Saturday evening shortly before 10 p.m., the St.Gallen City Police were reported to sprayer at the freight yard. When the on-site patrol caught two men and two women, all between 19 and 20 years of age, in flagranti, one of the men and the two women fled over the railroad tracks. After a short escape, the man was stopped. The two women are now also known to the police and are summoned for questioning. The city police make reports for obstructing an official act as well as for crossing the railroad tracks. A report of damage to property would be made to the St.Gallen canton police at the request of the injured party.
105;Car collides with Appenzeller Bahn;On Saturday evening (January 2nd, 2021) there was a collision between a car and the Appenzeller Bahn at the Spisertor roundabout. The driver ignored a red light and was under the influence of alcohol. No people were injured and there was rather minor property damage. On Saturday evening at 11 p.m., a collision between a car and the Appenzeller Bahn occurred in the roundabout at Spisertor. According to initial findings, the 33-year-old driver drove on the roundabout at the Spisertor despite the red light. In the roundabout, there was then a collision with the Appenzeller Bahn, which was leaving in the direction of Speicher. The conclusive breath alcohol test showed 0.96 mg / l in the 33-year-old. The driver's license was taken from him. No people were injured and there was rather minor property damage to both vehicles.
106;Taser use on a 26-year-old;On Saturday evening (January 2nd, 2021) the St.Gallen city police was called because of a man screaming in his apartment. The man was taken to the police station for further clarification, where he behaved so unruly that a policeman was injured and a taser (destabilization device) had to be used. A medical officer ordered the caring accommodation. On Saturday evening at 11:45 p.m., the St.Gallen city police were called because of a man yelling around in his apartment. The police officers sought dialogue on site. In the presence of the police, the 26-year-old man did not want to calm down for the time being. He even broke a window in his apartment. Only after long discussions was the 26-year-old ready to come to the police station for clarifications. There the man behaved so unruly that a policeman was injured and a taser (destabilization device) had to be used. A breath alcohol test showed 1.02 mg / l. The 26-year-old was shown to a medical officer who had caring accommodation.
107;Two cars collide on Zürcher Strasse;On Sunday afternoon (January 3rd, 2021) there was a collision between two cars on Zürcher Strasse. Both drivers were uninjured. A car had to be towed. On Sunday afternoon shortly before 3:30 p.m., a 38-year-old drove his car out of town on Zürcher Strasse. At the level of property no. 152, the driver stopped at the red light. The approaching 50-year-old driver noticed the stationary vehicle in front of him too late and then dodged sideways. There was a collision between the two vehicles. The two drivers were unharmed. There was moderate property damage. The 50-year-old's car had to be towed.
108;Police operation in St.Gallen;On Thursday evening (January 7th, 2021) there was a major police operation at the Bohl in St.Gallen. A man had previously attacked a police officer and fled to his apartment. The man was then stopped in his apartment by the special unit of the St.Gallen city police. Nobody got hurt. On Thursday at 5.30 p.m., passers-by reported to a police officer who was present that there was a man without a mask at the Bohl stop. When the police approached him about his wrongdoing, he became aggressive and assaulted the officer. He hit the upper body and pushed it away. He also tore the radio and damaged it. Then the man ran away, went to his apartment on Hechtgasse and locked himself in there. When talking through the apartment door, he cursed the police and was not ready to step out of the apartment. In consultation with the public prosecutor's office, due to the assault, his escape and the unclear circumstances, the special unit of the St.Gallen City Police took him out of the apartment. The mission went without any problems and no one was injured. In addition to the St.Gallen city police, the St.Gallen professional fire brigade and the St.Gallen ambulance were also on site. Man is reported The man stopped is a 28-year-old Swiss. Why he physically attacked the police officer and then fled is unclear. The St.Gallen City Police clarify the incident. The man is displayed.
109;Traffic accident with injured child;On Friday afternoon (January 8th, 2021) there was a collision between a car and a child on Langgasse. The child suffered leg injuries and had to be taken to hospital. There was no property damage to the vehicle. On Friday afternoon shortly after 1.30 p.m., a mother and her 4-year-old daughter were waiting on the roadside of Langgasse, at property 167. They intended to cross the street. At the same time, a 31-year-old was driving his car into town. The 4-year-old girl suddenly stepped onto the road. Despite evasive maneuvers by the driver, there was a side collision. The girl sustained injuries on her right leg. It had to be taken to hospital care by ambulance. There was no property damage to the vehicle.
110;Traffic accident with injured driver;On Friday evening (January 8th, 2021) there was a collision between two cars on Bildstrasse. A driver was slightly injured. As part of the accident record, it had to be determined that she had driven the vehicle while it was unable to drive. She was transported to the hospital by ambulance. Significant property damage was caused to the vehicles. On Friday evening shortly after 6.30 p.m., a 32-year-old driver drove her car in the left-turn lane on Bildstrasse in a southerly direction. At the gas station there, she turned left. In doing so, she disregarded the right of way of the passenger car approaching her. As a result, there was a frontal-side collision. The person who caused the accident was slightly injured and was taken to the hospital by ambulance after the accident was first recorded. As part of the investigation, the injured driver had to be determined to be incapable of driving. The St. Gallen public prosecutor ordered a blood and urine sample to be taken. The driver's license was withdrawn. There was considerable material damage to the vehicles involved. Both cars had to be towed.
111;Self-accident with property damage;On Sunday (January 10th, 2021) after midnight, a self-accident occurred on Martinsbruggstrasse, in the curve in front of property 107. The driver mistook the accelerator for the brake pedal. As a result, it threw the passenger car against a meadow edge and the guardrail. Nobody got hurt. There was considerable damage to property. On Sunday after midnight at 12:40 a.m., a 35-year-old driver drove her car on Martinsbruggstrasse in the direction of Eggersriet. Before the bend, at property 107, she intends to slow down. She mistook the accelerator for the brake pedal. As a result, her vehicle skidded. The car crashed first against the right-hand side of the meadow and then against the guardrail on the left-hand side of the road. There was considerable damage to property. Nobody got hurt.
112;Notices due to obstruction of view;On Saturday (January 9th, 2021) three vehicles were stopped because the view from the car was obstructed. On the one hand, the windshields were insufficiently cleared of ice, on the other hand, a car was loaded, obstructing the view. A vehicle driver and two vehicle drivers were reported. On Saturday morning at 8 a.m. and 8:23 a.m., a 60-year-old driver and a 34-year-old driver were stopped while driving in the city of St.Gallen. They had insufficiently cleared the windshield from the ice. After the windows had been cleaned sufficiently, they could continue their journey. Both are reported. On the same day at 4:43 p.m., a 51-year-old driver was stopped. He had loaded wooden beams inside the vehicle. Since these protruded over the passenger seat, there was no longer a clear view to the right of the vehicle. In this case too, an advertisement will be created.
113;Car driver crashes into guardrail;On Sunday (January 10th, 2021) a driver lost control of her vehicle and hit a guardrail. Nobody got hurt. The badly damaged accident car had to be towed away. On Sunday night shortly before 1 a.m., a 35-year-old drove her car on Martinsbruggstrasse in the direction of Eggersriet. In the right-hand bend at the level of the Goldachtobelweg, she lost control of her vehicle. The passenger car skidded and hit the guardrail of the opposite lane head-on. Nobody got hurt. There was considerable damage to property. The vehicle had to be towed.
114;Man stopped with hashish and marijuana;"On Monday (January 11th, 2021) the St.Gallen City Police stopped a car for a traffic control. The man was unable to drive and hashish and marijuana were seized from him. The 21 year old is displayed. On Monday evening shortly before 8:30 p.m., a patrol from the St.Gallen City Police carried out a traffic control on Sonnenstrasse. In doing so, she noticed a driver who turned in front of the control and ignored the ""No entry"" sign. The patrol started the night and was able to stop the vehicle on Brühlbleichestrasse. During the subsequent control, the 21-year-old was classified as incapable of driving due to his behavior. The St.Gallen public prosecutor ordered a blood and urine sample. The vehicle was seized and the driver's license was temporarily removed from him. The driver was also able to seize 4 grams of hashish and 2.8 grams of marijuana. The man is displayed."
115;Compressor cable fire;On Tuesday (January 12th, 2021) there was a small cable fire at a compressor at a gas station, which went off by itself. Nobody got hurt. The amount of property damage is not yet known. On Tuesday morning at 9:30 a.m., a fire report was received from a gas station on Oberstrasse, whereupon the city police and the professional fire brigade moved out. For reasons that have not yet been clarified, a cable fire occurred in a compressor. The little fire went out by itself. At no point was there any danger to people. No people were injured. The amount of property damage is not yet known. Further fire investigations are being carried out.
116;Drunk driver stopped;On Tuesday (January 12th, 2021) the St.Gallen city police checked an intoxicated driver who wanted to bypass the control point. The 23 year old is displayed. On Tuesday evening at 8 p.m., a patrol from the St.Gallen City Police carried out a traffic control on Sonnenstrasse. Shortly before the checkpoint, a 23-year-old driver turned into Notkerstrasse, ignoring the “No entry” sign. The police were able to stop the driver a little later. The breath alcohol test showed a value of 0.52 mg / l. The driver is displayed. Yesterday a driver tried to evade a traffic control (press release). The city police were also able to stop this. He was unable to drive and had small amounts of narcotics on him.
117;Traffic situation in the city of St.Gallen;The heavy and persistent snowfall kept the St.Gallen city police busy on Thursday morning (January 14th, 2021). There were various accident reports and many vehicles got stuck, which resulted in traffic delays. There were also delays and course cancellations on public transport due to the heavy snowfall. The snow removal is in full swing: the streets in the city of St.Gallen have been covered with snow and partly iced over since Thursday morning due to the heavy snowfall. The St.Gallen city police received six accident reports by noon. Nobody was injured and there was only minor damage to property. However, various vehicles got stuck all over the city, causing traffic obstructions. The St.Gallen City Police performed traffic services and had to close some roads for a short time until the stuck vehicles could continue. Due to the road conditions and the traffic obstructions, there were delays and, in some cases, course cancellations. However, the understanding of the passengers is very great, for which the VBSG are grateful. Snow removal is in full swing The road inspectorate has been permanently on duty since the early hours of the morning. Due to the constant snowfall and the amount of snow, the work turns out to be very time-consuming. Due to the persistent snowfall, the current traffic situation is likely to persist for the next few hours. The St.Gallen City Police ask road users to be careful and to adapt their speed to the road conditions.
118;Traffic situation in the city of St.Gallen until 4.30 p.m.;"It has been snowing continuously since Thursday morning (January 14th, 2021) and various administrative offices in the city of St.Gallen are in great demand. The St.Gallen city police reported about it at noon. Since then, other vehicles got stuck and blocked roads. There were also delays and cancellations in public transport; the heavy and persistent snowfall continues to lead to slippery streets and paths in the city of St.Gallen. The clearance work is very time-consuming and the road inspectorate is in constant use. No further accidents have been reported to the St.Gallen City Police since 12 noon. However, around 15 vehicles got stuck on the snow-covered roads since noon. This resulted in traffic obstructions or roads had to be temporarily closed. The St.Gallen transport company also had to struggle with the current road situation. The slower flow of traffic, the traffic jams or traffic delays also led to delays and course cancellations in the afternoon. The St.Gallen City Police therefore recommends that you do not use a vehicle to return home during rush hour. The roads are still covered with snow and extremely slippery, especially on inclines. Great caution is therefore required. We wish you a good and accident-free journey."
119;City police do not organize a spring fair in 2021;The city police of St.Gallen decided not to organize the spring fair in 2021. Any alternatives, such as those already implemented for the 2020 autumn market, are now being independently examined by the market and showman associations.Due to the current situation and the measures to combat the coronavirus, the St.Gallen city police have consulted with the market and showman associations Regret decided not to organize the Spring Fair 2021. Any alternatives, such as those already implemented for the 2020 autumn market, are now being independently examined by the market and showman associations. The St.Gallen City Police will support the organizers of a spring fair “Light” as far as they can, but would like to point out at this point that it cannot be assumed that major events can take place again in April 2021. OFFA 2021 will not take place The Olma Messen St.Gallen have decided that OFFA 2021, which will take place at the same time as the spring fair, will also not take place. Further information can be found in the media release from Olma Messen St.Gallen.
120;Snow brings accidents, traffic jams and a lot of work;It has been snowing almost continuously in the city of St.Gallen since Thursday morning (January 14th, 2020). There were various traffic accidents, traffic jams, traffic delays and delays in public transport. The road inspectorate is in full operation. Caution is advised due to the large amounts of snow in the forest due to falling trees or broken branches. Since Thursday morning, January 14, 2021, there has been an extraordinary amount of snow in the city of St.Gallen. This was most likely about 15 years ago. As a result, various employees of the St.Gallen city administration are highly challenged. Attached is a summary of the various offices.Verkehrsbetriebe St.GallenFor the Verkehrsbetriebe St.Gallen (VBSG), the current road conditions are still a major challenge. Again and again, stuck vehicles prevent you from continuing your journey or the buses barely make any progress themselves. Because of this, there are still delays. The VBSG thanks the population for their understanding and is endeavoring to be able to resume the timetable as soon as possible resumed. They had to contend with amounts of snow of up to 80 cm within 24 hours. Due to the ongoing snowfall, the clearance work is still in full swing this morning. Because the space for the intermediate snow deposit is tight, the removal of the snow is also being tackled. The St. They also had to tow several stuck buses or trucks. The road conditions mean longer, more difficult travel times for the professional fire brigade, and getting through during urgent operations is sometimes difficult. Snow chains were put on all vehicles for a safe journey.Stadtpolizei St.GallenThe city police St.Gallen had over 50 missions because of the snowfall since Thursday morning. Over 20 reports were received because of stuck vehicles. Some of the traffic obstructions could be resolved before the police arrived. In other cases, the St.Gallen City Police helped the vehicles out of their predicament. During yesterday and also on Friday morning, January 15, 2021, there were sometimes major traffic disruptions. So far there have been a total of twelve traffic accidents that have been amicably regulated. Most of the time it was signal boards that had been hit, traffic dividers or minor collisions between vehicles. The St.Gallen city police have so far detected many vehicles that have not been cleared of snow. Ten people were stopped and reported with up to 40 cm of snow on the roof. The police draws attention to the fact that the snow masses can endanger others as well as themselves. Vehicles must be completely cleared of snow before they are used. Be careful under trees and houses Due to the large amounts of snow in the forest or under trees, great caution is required. Trees can fall or branches can break off, which has already happened occasionally. Nobody has been injured so far. Roof avalanches can also occur, which is why pedestrians should be careful.
